null_variant_in_disease_gene,functional_studies_damaging,common_in_population,functional_studies_benign
true,true,true,true
true,true,true,true
true,true,true,true
true,true,true,true
true,true,true,true
true,true,true,true
true,true,true,false
true,true,true,false
true,true,true,false
true,true,true,false
true,true,true,false
true,true,true,false
true,true,false,true
true,true,false,true
true,true,false,true
true,true,false,true
true,true,false,true
true,true,false,true
true,true,false,false
true,true,false,false
true,true,false,false
true,true,false,false
true,true,false,false
true,true,false,false
true,false,true,true
true,false,true,true
true,false,true,true
true,false,true,true
true,false,true,true
true,false,true,true
true,false,true,false
true,false,true,false
true,false,true,false
true,false,true,false
true,false,true,false
true,false,true,false
true,false,false,true
true,false,false,true
true,false,false,true
true,false,false,true
true,false,false,true
true,false,false,true
true,false,false,false
true,false,false,false
true,false,false,false
true,false,false,false
true,false,false,false
true,false,false,false
false,true,true,true
false,true,true,true
false,true,true,true
false,true,true,true
false,true,true,true
false,true,true,true
false,true,true,false
false,true,true,false
false,true,true,false
false,true,true,false
false,true,true,false
false,true,true,false
false,true,false,true
false,true,false,true
false,true,false,true
false,true,false,true
false,true,false,true
false,true,false,true
false,true,false,false
false,true,false,false
false,true,false,false
false,true,false,false
false,true,false,false
false,true,false,false
false,false,true,true
false,false,true,true
false,false,true,true
false,false,true,true
false,false,true,true
false,false,true,true
false,false,true,false
false,false,true,false
false,false,true,false
false,false,true,false
false,false,true,false
false,false,true,false
false,false,false,true
false,false,false,true
false,false,false,true
false,false,false,true
false,false,false,true
false,false,false,true
false,false,false,false
false,false,false,false
false,false,false,false
false,false,false,false
false,false,false,false
false,false,false,false
